"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Frieza (Second Form)","Shueisha","Bad","Frieza,Frieza (First Form),Frieza (Third Form),Golden Frieza","Red","No Hair","Mutant",160,80,100,95,75
"Frieza (Third Form)","Shueisha","Bad","Frieza,Frieza (First Form),Frieza (Second Form),Golden Frieza","Red","No Hair","Mutant",160,80,100,95,80
"Frigga","Marvel Comics","Good","None","None","Blond","Asgardian",180,90,25,95,13
"Frightwig","Cartoon Network","Bad","None","Blue","Orange","Human",110,55,13,35,13
"Fringilla Vigo","CD Projekt Red","Neutral","None",NA,"Black","Human",130,65,25,60,10
"Frodo","J. R. R. Tolkien","Good","None","Green","Brown","Hobbit",105,55,14,15,5
"Frost","Mortal Kombat","Bad","None","Blue","Blue","Human",130,65,25,90,20
"Frozone","Pixar","Good","None",NA,"Black","Human",120,60,30,40,20
"Fr�sti","Marvel Comics","Good","None","White","No Hair","None",130,65,25,50,20
"Fthaggua","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Fu","Shueisha","Bad","None","Red","White","Demon",200,100,100,100,100
"Fudoh","Shueisha","None","None","None","None","None",140,70,90,100,60
"Fuego","Marvel Comics","Bad","None",NA,"No Hair","Human",105,55,1,30,30
"Fugitive Ekko (Pulsefire)","Riot Games","Good","None",NA,"White","Human",170,85,25,50,30
"Fugitive Ezreal (Pulsefire)","Riot Games","Neutral","None",NA,"Blond","Human",150,75,13,40,30
"Fujin","Mortal Kombat","None","None","None","None","None",160,80,55,100,45
"Fujiwara No Mokou","None","Bad","None","Red","White","God / Eternal",90,45,1,75,100
"Fulgore","None","Bad","None","Red",NA,"Robot",90,45,25,100,35
"Fumikage Tokoyami","Shueisha","Good","None","Red","Black","Human",110,55,25,70,25
"Funky Kong","Nintendo","Good","None","Blue","Blond","Animal",140,70,30,40,40
"Fury","DC Comics","Good","None","Blue","Black","None",150,75,100,85,85
"Fuse","None","Good","None","Brown","Black","Human",90,45,1,80,35
"Fusion Dragonoid","Sega",NA,"Aeroblitz Drago,Blitz Dragonoid,Cross Dragonoid,Delta Dragonoid,Drago,Helix Dragonoid,Infinity Dragonoid,Lumino Dragonoid,Neo Dragonoid,Titanium Dragonoid,Ultimate Dragonoid","Green","No Hair","Alien",200,100,100,100,100
"Fusion Zamasu","Shueisha","Bad","Future Zamasu,Goku Black,Goku Black,Infinite Zamasu,Infinite Zamasu","Grey","White","God / Eternal",170,85,100,100,100
"Futsunushi","None","Good","None","Black","Black","God / Eternal",200,100,100,100,100
"Future Android 17","Shueisha","Bad","Android 17,Android 17 (Super 17)","Blue","Black","Android",140,70,100,100,70
"Future Android 18","Shueisha","Bad","Android 18","Blue","Blond","Android",140,70,100,100,70
"Future Flash","DC Comics","Bad","Flash","Blue","Blond","Human",180,90,25,90,85
"Future Gohan","Shueisha","Good","Future Gohan,Gohan,Gohan,Gohan,Kid Gohan,Mystic Gohan,Teen Gohan,Xeno Gohan","Black","Black","Saiyan",140,70,100,100,75
"Future Gohan (Super Saiyan)","Shueisha","Good","Future Gohan,Gohan,Gohan,Gohan,Kid Gohan,Mystic Gohan,Teen Gohan,Xeno Gohan","Green","Gold","Saiyan",120,60,100,95,75
"Future Trunks","Shueisha","Good","Future Trunks,Future Trunks,Future Trunks,Future Trunks,Trunks,Trunks,Trunks,Trunks,Trunks,Xeno Trunks","Blue","Blue","Saiyan",150,75,100,100,75
"Future Trunks (Super Saiyan 2)","Shueisha","Good","Future Trunks,Future Trunks,Future Trunks,Future Trunks,Trunks,Trunks,Trunks,Trunks,Trunks,Xeno Trunks","Green / Blue","Gold","Saiyan",140,70,100,100,75
"Future Trunks (Super Saiyan Rage)","Shueisha","Good","Future Trunks,Future Trunks,Future Trunks,Future Trunks,Trunks,Trunks,Trunks,Trunks,Trunks,Xeno Trunks","White","Blond","Saiyan",149,75,100,100,100
"Future Trunks (Super Saiyan)","Shueisha","Good","Future Trunks,Future Trunks,Future Trunks,Future Trunks,Trunks,Trunks,Trunks,Trunks,Trunks,Xeno Trunks","Green / Blue","Gold","Saiyan",140,70,100,100,95
"Future Trunks (Ultra Super Saiyan)","Shueisha","Good","Future Trunks,Future Trunks,Future Trunks,Future Trunks,Trunks,Trunks,Trunks,Trunks,Trunks,Xeno Trunks","Blue","Gold","Saiyan",150,75,100,100,90
"Future Zamasu","Shueisha","Bad","Fusion Zamasu,Goku Black,Goku Black,Infinite Zamasu,Infinite Zamasu","Grey","White","God / Eternal",140,70,75,95,100
"G-Girl","None","Good","None","Brown","Blond","Human",120,60,75,55,45
"G-Man","Valve Corporation","Neutral","None",NA,NA,"None",200,100,100,100,100
"G.I. Zombie","DC Comics","Good","None","Red","Black","Metahuman",50,25,25,75,50
"G.One","None","Good","None","Blue","Black","Android",140,70,30,60,20
"Gaap","07th Expansion","None","None","None","None","None",200,100,100,100,100
"Gaara","Shueisha","Good","Gaara","Blue / White","Red","Human",130,65,55,90,60
"Gabara (Showa)","IDW Publishing","Bad","None",NA,NA,"Kaiju",100,50,75,25,30
"Gabriel Shepherd","Marvel Comics","Neutral","None","Blue","Brown","Mutant",190,95,100,70,100
"Gabriel The Warrior (Story Mode)","Microsoft","Good","None","Blue","Black","None",120,60,1,90,20
"Gabriel Van Helsing","Dark Horse Comics","Good","None",NA,NA,"Human",130,65,1,60,10
"Gadjah","Shueisha","Good","None","Purple","Black","Human",140,70,25,85,80
"Gaea","Marvel Comics","Good","None","Green","Brown / Black","God / Eternal",200,100,100,50,100
"Gahlran (Crown of Sorrow)","None","Bad","None",NA,NA,"Alien",100,50,95,75,100
"Gaia","None","None","None","None","None","None",200,100,100,100,100
"Gajeel Redfox","Kodansha","Good","None","Red","Black","Human",160,80,90,90,80
"Galacta","Marvel Comics","Neutral","None","Violet","Black","Cosmic Entity",200,100,100,50,100
"Galacta Knight","Nintendo","Neutral","None","Pink","No Hair","Alien",160,100,100,100,100
"Galactic Golem","DC Comics","Bad","None","Yellow","No Hair","Alien",100,50,100,70,100
"Galactus","Marvel Comics","Neutral","Galactus,Galactus,Galactus","Black","Black","Cosmic Entity",200,100,100,60,100
"Galactus (Fused)","Marvel Comics","None","None","White","Blond","God / Eternal",200,100,100,100,100
"Galactus (Herald Supreme)","Marvel Comics","Neutral","None","None","None","Cosmic Entity",200,100,100,100,100
"Galactus (Lifebringer)","Marvel Comics","Good","Galactus,Galactus,Galactus",NA,NA,"Cosmic Entity",200,100,100,100,100
"Galactus (Starving)","Marvel Comics","Neutral","None","None","None","Cosmic Entity",200,100,100,50,100
"Galactus (Ultimate Nullifier)","Marvel Comics","Neutral","Galactus,Galactus,Galactus","Black","Black","Cosmic Entity",200,100,100,100,100
"Galactus (Well Fed)","Marvel Comics","Neutral","None","None","None","Cosmic Entity",200,100,100,100,100
"Galactus (World Butcher)","Marvel Comics","Bad","None","Purple","No Hair","Cosmic Entity",200,100,100,95,100
"Galadriel","J. R. R. Tolkien","Good","None","None","None","None",190,95,25,70,30
"Galahad","None","Good","None","Blue","Black","Human",100,50,55,75,50
"Galamoth","Konami","Bad","None","Gold",NA,"Demon",110,55,100,100,95
"Galatea","DC Comics","None","None","None","None","None",130,65,95,55,85
"Galaxy Master","Marvel Comics","None","None","None","None","None",100,50,100,30,100
"Galeem","Nintendo","Bad","None","No eyes","No Hair","None",90,45,100,70,100
"Galgo","None","Good","None","Brown","Black","Human",120,60,5,70,10
"Galio","Riot Games","Good","None",NA,"Gold","Golem",100,50,75,60,45
"Galius Zed","DC Comics","None","None","None","None","None",140,70,60,15,50
"Gallantmon","Shueisha","Good","Gallantmon,Growlmon,Guilmon,Megidramon,Wargrowlmon","Yellow","No Hair","Demon",120,60,95,95,70
"Gallantmon (Crimson mode)","Shueisha","Good","Gallantmon,Growlmon,Guilmon,Megidramon,Wargrowlmon","Yellow",NA,"Demon",120,60,100,100,100
"Gallod","None","None","None","None","None","None",200,100,100,100,100
"Gallowglass","Marvel Comics","Bad","None","Yellow (without irises)","No Hair","Alien",110,55,100,40,70
"Galvatron","Hasbro","Bad","None","Red","No Hair","Robot",160,80,100,90,70
"Gambit","Marvel Comics","Good","None","Red","Brown","Mutant",130,65,5,75,15
"Gamera","Dark Horse Comics","Good","None",NA,NA,"Kaiju",120,60,75,40,35
"Gamiel The Manipulator","Marvel Comics","Neutral","None","No eyes","No Hair","Celestials",200,100,100,70,100
"Gamisalas","Shueisha",NA,"None",NA,NA,"None",120,60,80,70,50
"Gamma Gal","Disney","Good","None","Black","Brown","Animal",90,45,25,30,15
"Gamora","Marvel Comics","Good","None","None","None","Zen-Whoberian",140,70,15,80,10
"Gandalf","J. R. R. Tolkien","Good","None","Black","Grey","Maiar",200,100,25,85,65
"Gandalf The White","J. R. R. Tolkien","Good","None","Black","White","Maiar",175,90,1,20,30
"Gang Orca","Shueisha","None","None","None","None","None",110,55,30,70,20
"Gangplank","Riot Games","Bad","Gangplank",NA,NA,"Human",130,65,6,55,15
"Gangplank (Ruined)","Riot Games","Bad","Gangplank","Green","Red","Human",120,60,35,60,30
"Ganimes (Showa)","IDW Publishing","Bad","None",NA,NA,"Kaiju",80,40,75,20,15
"Ganishka","Dark Horse Comics",NA,"None",NA,"Black","None",150,75,55,100,40
"Gannicus","None","None","None","None","None","None",110,55,5,75,10
"Ganondorf","Nintendo","Bad","Calamity Ganon,Thunderblight Ganon","Amber","Red","Demon",180,90,100,90,80
"Ganos","Shueisha","Neutral","None","Purple","Black","None",120,60,100,100,65
"Ganta Igarashi","Kadokawa","Good","None",NA,NA,"Human",120,60,100,85,100
"Ganthet","DC Comics","Good","Parallax","Green","White","Cosmic Entity",200,100,100,90,100
"Garamas","DC Comics","None","None","None","None","None",160,80,100,80,100
"Garcello","None","None","None","None","None","None",130,65,15,65,80
"Gardener","Marvel Comics","Neutral","None","None","None","Alien",180,90,25,50,20
"Gardevoir","Nintendo","Neutral","None","Pink","Green","Pok�mon",160,80,25,50,35
"Garen","Riot Games","Neutral","None",NA,"Brown","Human",120,60,25,75,20
"Garfield","Cartoon Network","None","None","None","None","None",150,75,85,50,50
"Gargomon","Shueisha","Good","Megagargomon,Rapidmon,Terriermon","Black","Green","Animal",95,50,25,50,25
"Gargonoid","Sega","Neutral","None","Green","No Hair","None",120,60,50,60,40
"Gargoyle King","None","None","None","None","None","None",110,55,5,35,8
"Garland (Chaos)","Square Enix",NA,"None",NA,NA,"None",120,60,100,65,40
"Garnet","Cartoon Network","Good","None",NA,"Indigo","Alien",125,65,85,95,50
"Garou","Shueisha","Bad","Monster Garou","Yellow","White","Human",140,70,50,100,40
"Garou (Cosmic Fear)","Shueisha","Bad","None",NA,NA,"Cosmic Entity",180,90,100,100,80
"Garr","Capcom","Good","None",NA,NA,"None",100,50,5,70,20
"Garruk Wildspeaker (Post-Mending)","Hasbro","Neutral","None",NA,"Black","Human",105,55,30,75,30
"Garuda","Shueisha","None","None","None","None","None",160,80,70,100,60
"Garviel Loken","Warhammer 40K","None","None","None","None","None",150,75,100,90,85
"Garzooka","None","Good","None","Black","Orange","Animal",90,45,50,40,15
"Gas (Limit Breaker)","Shueisha","Bad","Gas","Blue","Purple","None",140,70,100,90,100
"Gauche Aldai","Shueisha","Good","None","Brown","Brown","Human",130,65,13,50,50
"Gauntlet","Marvel Comics","Good","None","Brown","None","Human",140,70,50,70,15
"Gayomart","None","None","None","None","None","None",170,85,100,95,100
"Gazorpazorp","Cartoon Network","Neutral","None",NA,"Brown","Alien",85,45,25,25,20
"Gecko Moria","Shueisha","Bad","None","Black","Red","Human",150,75,100,70,35
"Geese Howard","SNK","Bad","Nightmare Geese","Blue","Yellow","Human",167,85,75,100,25
"Gellert Grindelwald","J. K. Rowling","Bad","None","Blue","Blond","Human",160,80,1,65,20
"Gemini Kanon","Shueisha","Good","None",NA,"Blue","None",170,85,100,95,100
"Gemini Saga","Toei Animation","Neutral","None","Blue","Green","None",130,65,100,85,90
"Gen Narumi","Shueisha","Good","None","Red","Silver","Human",130,65,50,85,30
"General Grievous","George Lucas","None","None","None","None","None",100,50,5,70,10
"General Han","Shueisha","None","None",NA,NA,"None",160,80,80,100,65
"General Kaiser","Shueisha","None","None","None","None","None",160,80,70,100,60
"General Zod","DC Comics","Bad","None","None","Black","Alien",110,55,100,90,45
"Generator Rex","None","Good","None","Brown","Black","Human",120,60,75,60,55
"Generator Rex (Meta-Nanite)","Cartoon Network","Good","None","Blue","Black","None",200,100,100,100,100
"Genesis","Marvel Comics","None","Annihilation","Blue","Black","Human",110,55,5,85,50
"Genesis Dragonoid","Sega","Good","None","Green","No Hair","None",200,100,100,100,100
"Genesis Rhapsodos","Square Enix","Bad","None","Green","Auburn","Human",120,60,100,80,50
"Gengar","Nintendo","Neutral","None","Red","No Hair","Pok�mon",110,55,25,60,35
"Genie","Disney","Good","None","Brown","Black","Human",160,80,100,90,100
"Genji","Activision Blizzard","Good","None","Black","Green","Human",110,55,1,70,15
"Gennai","Shueisha","Good","None","Blue","Brown","Energy",160,80,5,85,45
"Geno","Nintendo","Good","None","Red","No Hair","None",110,55,95,80,85
"Genos","Shueisha","Good","None","Yellow (without irises)","Blond","Cyborg",150,75,65,85,45
"Gentle Criminal","Shueisha","Neutral","None","Blue","White","Human",110,55,25,25,25
"Geo-Force","DC Comics","Good","None","Green","Strawberry Blond","Metahuman",135,70,75,50,55
"George Chambers","None","Good","None","Black","Black","Human",120,60,8,80,10
"George The Ape","Warner Brothers","Good","None",NA,"White","Animal",110,55,75,35,35
"George Weasley","J. K. Rowling","Good","None",NA,"Red / Orange","None",140,70,1,45,10
"Georgius","None","Neutral","None",NA,NA,"None",200,100,100,80,100
"Geralt","CD Projekt Red","Good","None","Gold","White","Human",150,75,25,90,25
"Geth, Lord Of The Vault","Hasbro","Bad","None",NA,NA,"Human",150,75,35,55,30
"Geyadrone Dihada (Pre-Mending)","Hasbro","Bad","None","White","Black","Demon",180,90,50,50,95
"Gezora (Showa)","IDW Publishing","Bad","None","White / Red",NA,"Kaiju",90,45,75,20,25
"Ghetsis","Nintendo","Bad","None","Red","Green","Human",150,75,1,80,10
"Ghiaccio","Shueisha","None","None","None","None","None",160,80,1,60,11
"Ghizguth","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Ghost","None","Good","None","Brown","Black","Human",140,70,8,100,15
"Ghost-Spider","Marvel Comics","Good","None","Blue","Blond","Human",120,60,25,40,30
"Ghost (2019)","Activision Blizzard","Good","Ghost","Brown",NA,"None",120,60,6,65,8
"Ghost Godzilla (GMK)","IDW Publishing","Bad","Burning Godzilla,Godzilla,Godzilla,Godzilla,Godzilla Ultima,Godzillasaurus,Shin Godzilla","White",NA,"Kaiju",80,40,75,40,40
"Ghost Of Captain Cutler","Hanna-Barbera","Bad","None",NA,NA,"Human",100,50,25,8,40
"Ghost Rider","Marvel Comics","Good","None","No eyes","No Hair","Human",170,85,55,80,100
"Ghost Rider (Celestial body)","Marvel Comics","Neutral","Ghost Rider",NA,NA,"Celestials",140,70,100,75,100
"Ghost Rider (Cowboy)","Marvel Comics","Good","None","No eyes","No Hair","Human",135,70,75,65,65
"Ghost Rider (Devil Rig)","Marvel Comics","Good","None","No eyes","No Hair","Human",170,85,95,85,100
"Ghost Rider (Druid)","Marvel Comics","Neutral","None","No eyes","No Hair","Spirit",178,90,90,85,100
"Ghost Rider (Frontier Era)","Marvel Comics","Good","None","No eyes","No Hair","Human",138,70,75,65,70
"Ghost Rider (King Of Hell)","Marvel Comics","Neutral","None","No eyes","No Hair","Demon",140,70,90,75,100
"Ghost Rider (Maori)","Marvel Comics","Good","None","No eyes","No Hair","Human",172,85,75,80,100
"Ghost Rider (Matador)","Marvel Comics","Good","None","No eyes","No Hair","Human",160,80,95,85,100
"Ghost Rider (Ninja)","Marvel Comics","Good","None","No eyes","No Hair","Human",165,85,90,85,100
"Ghost Rider (Philistine)","Marvel Comics","None","None","None","None","None",174,85,90,85,80
"Ghost Rider (Phoenix Force)","Marvel Comics","Good","Ghost Rider,Ghost Rider","No eyes","No Hair","Human",150,75,100,70,100
"Ghost Rider (Russian)","Marvel Comics","Good","None","No eyes","No Hair","Human",158,80,85,100,80
"Ghost Rider (Samburu)","Marvel Comics","Good","None","No eyes","No Hair","Human",193,95,85,95,85
"Ghost Rider (Samurai)","Marvel Comics","Good","None","Black","Blond","Human",185,95,100,95,100
"Ghost Rider (Spring-Heeled Jack)","Marvel Comics","Good","None","No eyes","No Hair","Human",185,95,90,80,85
"Ghost Rider (Struwwelpeter)","Marvel Comics","Good","None","No eyes","Yellow","Human",158,80,90,80,100
"Ghost Rider (Texas Ranger)","Marvel Comics","Good","None","No eyes","No Hair","Human",178,90,90,100,80
"Ghost Rider (Undead G-Man)","Marvel Comics","Good","None","No eyes","No Hair","Human",170,85,85,100,85
"Ghost Rider (Union Soldier)","Marvel Comics","Good","None","No eyes","No Hair","Human",189,95,95,85,85
"Ghost Rider (Venomized)","Marvel Comics","Good","None","White","No Hair","Human",115,60,90,70,35
"Ghost Rider (Zarathos' Power)","Marvel Comics","Neutral","None","No eyes","No Hair","Demon",170,85,100,90,100
"Ghost Rider II","Marvel Comics","Good","None","Brown","Black","Demon",140,70,35,75,50
"Ghost Roaster","Activision Blizzard","Good","None","Amber","No Hair","None",85,45,1,25,13
"Ghostface","Kevin Williamson","Bad","None","None","None","Human",110,55,5,40,10
"Ghostfang","None","None","None","None","None","None",140,70,25,100,90
"Ghostfreak","Cartoon Network","Neutral","None","Purple","None","Alien",160,80,30,40,80
"Ghroth","H.P. Lovecraft","Bad","None",NA,NA,"None",200,100,100,85,100
"Gi-Hoveg","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"GI Bunker (WW2)","None","Good","None","Brown","Black","Human",120,60,30,70,25
"Giant-Man","Marvel Comics","Good","Ant-Man",NA,"Black","Human",120,60,55,40,30
"Giant Of Living Stone","George Lucas","Bad","None","Blue","No Hair","None",140,70,100,10,95
"Giant Turtle","IDW Publishing","Neutral","None","Yellow","No Hair","Kaiju",80,40,75,20,30
